lon,lat,tile_ID,comm_ID,geometry
114.34601476,22.7584624825,1970,140.0,"POLYGON ((114.350986853 22.762869548,114.350766603 22.753851347,114.341042996 22.7540552730001,114.341262609 22.763073564,114.350986853 22.762869548))"
114.355738629,22.7582582164,1971,150.0,"POLYGON ((114.360710985 22.7626649420001,114.360490099 22.7536468310001,114.350766603 22.753851347,114.350986853 22.762869548,114.360710985 22.7626649420001))"
114.365462387,22.7580533599,1972,140.0,"POLYGON ((114.370435005 22.762459745,114.370213483 22.753441724,114.360490099 22.7536468310001,114.360710985 22.7626649420001,114.370435005 22.762459745))"
114.375186033,22.7578479132,1973,110.0,"POLYGON ((114.378593258662 22.7622870919146,114.378776999659 22.7622699997608,114.379288999888 22.7622679996685,114.37977399977 22.7622260004296,114.38015642068 22.7621528293011,114.379936754 22.7532360280001,114.370213483 22.753441724,114.370435005 22.762459745,114.378593258662 22.7622870919146))"
114.384909566,22.7576418765,1974,110.0,"POLYGON ((114.388955673658 22.7620672562962,114.389882708 22.762047581,114.389659913 22.7530297410001,114.379936754 22.7532360280001,114.38015642068 22.7621528293011,114.380327999238 22.762120000038,114.380603999375 22.7620409999922,114.380764999605 22.7621329997382,114.381016999535 22.7622270004757,114.381289999534 22.7622119997841,114.381576999279 22.762088000361,114.38173 22.761957999762,114.381863999924 22.7617209996245,114.381878752403 22.7615685537458,114.381908999301 22.7612559997646,114.381980999923 22.7610110001575,114.3820519996 22.7609019996276,114.382215999969 22.7608780003195,114.38232999983 22.7608390003196,114.382350999899 22.7606939999282,114.38242099953 22.7604189998371,114.382514999368 22.760215000322,114.382596999552 22.7601570003453,114.382666999183 22.7601489999764,114.382771999528 22.7601790004605,114.383044999527 22.7603650000448,114.383310000057 22.7605660003207,114.383444999987 22.760611999744,114.383614999732 22.7605470003438,114.383675999848 22.7604549996985,114.383645999364 22.760357999722,114.383499999825 22.7601410005068,114.383385999964 22.7599400002308,114.383410999318 22.7597990000239,114.383535999687 22.7596340005088,114.383673999755 22.7595110002325,114.383943999616 22.7595049999558,114.384178999661 22.7596169997248,114.384349999453 22.7598169999547,114.384339999891 22.7599400002308,114.384195999546 22.7601910001147,114.383858999293 22.7607919999509,114.383678999986 22.7611009998113,114.383643999271 22.7612399999261,114.38367799994 22.7613820001792,114.383855 22.761531999902,114.383919672055 22.7615685537458,114.384130999246 22.7616879999013,114.384431999637 22.7617310000857,114.384763999659 22.7616980003625,114.385165999311 22.7617360003162,114.385382999426 22.7617400005007,114.385627999932 22.7616350001552,114.385714428378 22.7615685537458,114.385986999401 22.7613590000179,114.386299999445 22.7611940005027,114.386532999398 22.7611530004107,114.386970999812 22.7612230000415,114.387605999417 22.7614709997869,114.387805362927 22.7615685537458,114.388214999623 22.7617690000393,114.38890399992 22.7620379998539,114.388955673658 22.7620672562962))"
114.394632987,22.7574352491,1975,110.0,"POLYGON ((114.39960639 22.7618406130001,114.39938296 22.7528228640001,114.389659913 22.7530297410001,114.389882708 22.762047581,114.39960639 22.7618406130001))"
114.404356295,22.7572280317,1976,134.0,"POLYGON ((114.409329959 22.761633055,114.409165052513 22.7549963037671,114.409067999888 22.7549250000888,114.409043999681 22.7548080000892,114.409100999611 22.7545550001132,114.4091502959 22.7544024158332,114.409105893 22.7526153970001,114.39938296 22.7528228640001,114.39960639 22.7618406130001,114.409329959 22.761633055))"
114.414079489,22.757020224,1977,134.0,"MULTIPOLYGON (((114.416400809637 22.7614816900441,114.416248000045 22.7613949998793,114.415776999909 22.7610789996961,114.415169999796 22.7608299999046,114.414582999706 22.7607679997434,114.414268999615 22.7607620003661,114.413868 22.7607750000663,114.413492999802 22.7607450004815,114.413108000034 22.7606410001821,114.412746999574 22.7604949997445,114.412624999344 22.7604349996756,114.412622999252 22.7603219998605,114.412621000059 22.7601819996996,114.412643999321 22.7599240003923,114.412967999873 22.7598780000697,114.413622999502 22.7598790001158,114.414146999385 22.7597890004621,114.41476099982 22.7597210000242,114.415153999957 22.7596029999785,114.415473999426 22.7595569996559,114.415698999909 22.7594609997255,114.415847999586 22.7593130000949,114.415880999309 22.7591560000495,114.415802999309 22.75896,114.415896 22.7585489999364,114.415930999816 22.7581979999378,114.415907999655 22.7578980004924,114.415802999309 22.7575739999401,114.415811999724 22.7571789997112,114.415841999309 22.7569259997351,114.415764999355 22.756731999782,114.415543999956 22.7565199998981,114.415223999588 22.7563789996912,114.41486499922 22.7562560003143,114.414568999959 22.7561079997845,114.414147999431 22.7558119996242,114.413776999409 22.755595000409,114.413320999964 22.7554510000636,114.412496999737 22.755341000387,114.411883999347 22.7552489997415,114.411241999419 22.7551109996729,114.41063899949 22.7550860003187,114.410340999238 22.7550589999729,114.410252999676 22.755028000342,114.410076999654 22.754918999812,114.409876999424 22.7548900002734,114.409536999933 22.7549700003653,114.409317999726 22.7550210000192,114.409165999911 22.7549969998117,114.409165052513 22.7549963037671,114.409329959 22.761633055,114.416400809637 22.7614816900441)),((114.409460962455 22.7526077989274,114.409105893 22.7526153970001,114.4091502959 22.7544024158332,114.409247999196 22.7540999998152,114.409254999519 22.7540789997461,114.409397999818 22.7536450004165,114.409475999818 22.7533110003025,114.409491999656 22.7529430004192,114.409460962455 22.7526077989274)))"
113.791763656,22.7781518718,1978,112.0,"MULTIPOLYGON (((113.796720869 22.7825780900001,113.796712602283 22.7821727730882,113.796652999636 22.7823769997988,113.796549413661 22.7825810922762,113.796720869 22.7825780900001)),((113.796536841 22.7735552020001,113.78792776924 22.7737058950636,113.788037999854 22.773870999647,113.788619999713 22.7746179999208,113.789079999343 22.7751930003567,113.789209529596 22.7753245747693,113.789586999341 22.7757079998243,113.789975999293 22.7760700003303,113.790453999752 22.7764259996602,113.790850000027 22.7767239999127,113.791304999426 22.7769569998657,113.791719999678 22.7771370000726,113.792229999815 22.7772709999568,113.792909999697 22.777445999933,113.793590999625 22.7776260001398,113.793681999325 22.7776539996325,113.794305999322 22.7778509997239,113.794836999528 22.7780980003226,113.795365999641 22.7784130004596,113.796061999362 22.7789409996275,113.796405999937 22.7793650002946,113.796668653405 22.7800179607282,113.796536841 22.7735552020001)))"
113.801493999,22.7779812238,1979,112.0,"POLYGON ((113.806451485 22.7824071090001,113.806266819 22.773384296,113.796536841 22.7735552020001,113.796668653405 22.7800179607282,113.796691999636 22.7800759998076,113.796824999474 22.7806419998285,113.796856 22.7813599996643,113.796788999613 22.7819109998928,113.796712602283 22.7821727730882,113.796720869 22.7825780900001,113.806451485 22.7824071090001))"
